Species.Fullname,Organism.ID,Blank ,Initial Volume (ml),Pre Burn Dry,Post Burn ,AFDW
Eucidaris galapagensis,Egala_Bart_1,,8,4.265,4.061,0.204
Eucidaris galapagensis,EgalaBk_Bart_2,1,0,0,0,0
Eucidaris galapagensis,Egala_Bart_3,,24,17.228,16.075,1.153
Eucidaris galapagensis,Egala_Bart_4,,9,6.158,5.757,0.401
Eucidaris galapagensis,EgalaBk_Bart_5,1,0,0,0,0
Eucidaris galapagensis,Egala_Bart_6,,21,13.543,12.658,0.885
Eucidaris galapagensis,Egala_Bart_7,,7,10.833,10.142,0.691
Eucidaris galapagensis,Egala_Bart_8,,11,7.912,7.471,0.441
Eucidaris galapagensis,Egala_Bart_9,,13,9.813,9.267,0.546
Eucidaris galapagensis,Egala_Bart_10,,28,21.574,20.197,1.377
Eucidaris galapagensis,Egala_Ibbet_1,,12,7.628,6.884,0.744
Eucidaris galapagensis,Egala_Ibbet_2,,17,10.376,9.458,0.918
Eucidaris galapagensis,Egala_Ibbet_3,,10,5.101,4.54,0.561
Eucidaris galapagensis,Egala_Ibbet_4,,16,10.892,9.87,1.022
Eucidaris galapagensis,Egala_Ibbet_5,,12,7.878,7.105,0.773
Eucidaris galapagensis,Egala_Ibbet_6,,50,30.024,26.641,3.383
Eucidaris galapagensis,EgalaBk_Ibbet_7,1,0,0,0,0
Eucidaris galapagensis,Egala_Ibbet_8,,45,27.895,25.064,2.831
Eucidaris galapagensis,Egala_Ibbet_9,,13,7.433,6.691,0.742
Eucidaris galapagensis,EgalaBk_Ibbet_10,1,0,0,0,0
Eucidaris galapagensis,Egala_Espi_1,,28,20.671,18.813,1.858
Eucidaris galapagensis,Egala_Espi_2,,19,14.072,12.866,1.206
Eucidaris galapagensis,EgalaBk_Espi_3,1,0,0,0,0
Eucidaris galapagensis,Egala_Espi_4,,41,29.548,26.194,3.354
Eucidaris galapagensis,Egala_Espi_5,,30,25.573,23.251,2.322
Eucidaris galapagensis,EgalaBk_Espi_6,1,0,0,0,0
Eucidaris galapagensis,Egala_Espi_7,,25,19.079,17.776,1.303
Eucidaris galapagensis,Egala_Espi_8,,31,28.419,25.742,2.677
Eucidaris galapagensis,Egala_Espi_9,,10,9.077,8.489,0.588
Eucidaris galapagensis,Egala_Espi_10,,23,17.933,16.574,1.359
Eucidaris galapagensis,Egala_Doug_1,,52,39.722,35.125,4.597
Eucidaris galapagensis,Egala_Doug_2,,33,25.781,23.169,2.612
Eucidaris galapagensis,Egala_Doug_3,,17,15.498,14.557,0.941
Eucidaris galapagensis,EgalaBk_Doug_4,1,0,0,0,0
Eucidaris galapagensis,Egala_Doug_5,,43,33.488,29.671,3.817
Eucidaris galapagensis,Egala_Doug_6,,45,32.79,30.173,2.617
Eucidaris galapagensis,Egala_Doug_7,,19,16.871,15.845,1.026
Eucidaris galapagensis,Egala_Doug_8,,50,38.448,35.68,2.768
Eucidaris galapagensis,EgalaBk_Doug_9,1,0,0,0,0
Eucidaris galapagensis,Egala_Doug_10,,35,29.606,26.321,3.285
Eucidaris galapagensis,Egala_Botel_1,,10,7.835,7.284,0.551
Eucidaris galapagensis,Egala_Botel_2,,16,12.525,11.751,0.774
Eucidaris galapagensis,Egala_Botel_3,,21,13.608,12.558,1.05
Eucidaris galapagensis,Egala_Botel_4,,15,15.21,14.173,1.037
Eucidaris galapagensis,EgalaBk_Botel_5,1,0,0,0,0
Eucidaris galapagensis,Egala_Botel_6,,30,23.403,21.91,1.493
Eucidaris galapagensis,Egala_Botel_7,,10,8.184,7.667,0.517
Eucidaris galapagensis,EgalaBk_Botel_8,1,0,0,0,0
Eucidaris galapagensis,Egala_Botel_9,,14,10.076,9.397,0.679
Eucidaris galapagensis,Egala_Botel_10,,13,9.479,8.731,0.748
Eucidaris galapagensis,Egala_Corm_1,,23,15.173,14.203,0.97
Eucidaris galapagensis,EgalaBk_Corm_2,1,0,0,0,0
Eucidaris galapagensis,EgalaBk_Corm_3,1,0,0,0,0
Eucidaris galapagensis,Egala_Corm_4,,24,17.008,15.928,1.08
Eucidaris galapagensis,Egala_Corm_5,,25,17.718,16.523,1.195
Eucidaris galapagensis,Egala_Corm_6,,22,16.922,15.994,0.928
Eucidaris galapagensis,Egala_Corm_7,,18,15.23,14.194,1.036
Eucidaris galapagensis,Egala_Corm_8,,21,16.848,15.672,1.176
Eucidaris galapagensis,Egala_Corm_9,,31,24.198,22.587,1.611
Eucidaris galapagensis,Egala_Corm_10,,19,17.436,16.355,1.081
