"","Location","Q90","mean.sst","max.sst","var.sst","range.sst","meandailymax","Parameter","Stat","Metric"
"1","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"E","Mean",0.357049776199998
"2","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"E","Mean",1.67285494503145
"3","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"E","Mean",1.24277407967839
"4","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"E","Mean",1.05119126118372
"5","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"lnc","Mean",3.07483060546497
"6","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"lnc","Mean",4.54116170989373
"7","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"lnc","Mean",3.96368524424914
"8","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"lnc","Mean",3.5072789010626
"9","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"Topt","Mean",33.3614499150747
"10","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"Topt","Mean",30.3218356437116
"11","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"Topt","Mean",31.9399196765667
"12","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"Topt","Mean",31.9678202525392
"13","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"E","Variance",0.00515549619394054
"14","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"E","Variance",0.645422915597767
"15","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"E","Variance",0.199471133001257
"16","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"E","Variance",0.0922460814020571
"17","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"lnc","Variance",0.0180270317536992
"18","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"lnc","Variance",0.409800034782884
"19","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"lnc","Variance",0.24042448410399
"20","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"lnc","Variance",0.144701244728616
"21","Bart",24.05,22.3785808023997,24.871,1.00784452863357,2.4924191976003,22.8206607142857,"Topt","Variance",0.327488496230692
"22","Botel",22.274,20.6210654432133,22.681,2.09744498047496,2.0599345567867,21.3954590163934,"Topt","Variance",5.70854166280704
"23","Corm",23.4,21.7593965163934,23.93,1.5809300296018,2.17060348360656,22.5370806451613,"Topt","Variance",3.38918887581858
"24","Espi",23.497,20.575854379562,24.895,3.3802423887906,4.31914562043795,22.0474827586207,"Topt","Variance",1.67697446353983
